TradingDay,CF,FG,MA,OI,RM,SR,TA,a,ag,au,bu,c,cs,hc,i,j,jd,jm,l,m,p,pp,rb,ru,v,y
20180129,-0.0,0.0,0.0,-92.05277692543947,1827.6762402088789,-0.0,0.0,0.0,-0.0,-446.50830505447124,480.43925875086126,-0.0,0.0,0.0,-0.0,-416.4625183733493,-0.0,-0.0,-449.55044955045315,0.0,0.0,-666.944560233434,0.0,0.0,-1587.3015873015838,310.55900621116086
20180130,-0.0,-200.40080160319704,-0.0,-1412.7764127764158,256.4102564102689,-0.0,-0.0,0.0,-0.0,-0.0,-2322.404371584693,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-1254.3903662819876,-142.45014245015116,-0.0,-784.1907151819261,-0.0,-0.0,-436.36363636362535,-2958.3763329893004
20180131,-0.0,-2141.900937081646,-0.0,0.0,170.721297481861,0.0,0.0,-0.0,0.0,0.0,276.4340013821719,-223.2142857142878,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,392.29671897290194,0.0,0.0,-153.02218821729244,-0.0,0.0,1047.4860335195287
20180201,-0.0,-2029.769959404615,-0.0,-0.0,-298.50746268657355,-0.0,-1152.6370939573842,-0.0,-52.19206680584384,-0.0,-759.1442374051122,1901.5659955257095,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,817.3690932311672,-0.0,-2612.481857764884,-1076.7627648488933
20180202,0.0,1640.464798359536,0.0,-0.0,-0.0,-0.0,141.3427561837469,-0.0,-156.65796344648476,126.78862524902745,0.0,-110.80332409971702,-0.0,1535.7502517623393,1382.0335636722623,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,1526.329178326102,0.0,149.0312965722764,-0.0
20180205,-0.0,-134.49899125755925,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-868.3068017366061,-0.0,665.188470066525,0.0,-123.97718819736936,2531.6455696202493,3838.630806845964,0.0,2816.3725122042842,0.0,0.0,0.0,0.0,302.95379954557114,0.0,2083.3333333333567,-0.0
20180206,-0.0,-538.3580080753885,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-110.13215859033033,0.0,-0.0,-2089.2687559354167,-376.73651989637466,0.0,-1460.9203798392982,-0.0,-0.0,0.0,-884.2105263157882,-604.9911772120028,-0.0,-1325.4786450662777,-0.0
20180207,0.0,404.8582995951446,-0.0,0.0,0.0,-380.4911795226582,-0.0,0.0,-0.0,-1340.5797101449239,0.0,1101.9283746556719,0.0,0.0,2111.32437619961,3397.027600849224,-0.0,1324.5033112583012,-0.0,0.0,0.0,-1168.2242990654177,-304.3367993912954,0.0,667.1608598962213,0.0
20180208,-0.0,-2956.98924731182,-0.0,0.0,0.0,486.1111111111217,-0.0,0.0,-0.0,-220.34520749174976,-0.0,109.58904109588448,-0.0,0.0,-474.83380816714134,-788.6801206216285,0.0,-292.3976608187166,-0.0,0.0,0.0,-0.0,-355.6007112014246,-0.0,-1030.9278350515576,142.04545454543884
20180209,-0.0,-2046.3847203274363,-0.0,-0.0,-0.0,-0.0,-497.3357015985837,0.0,0.0,0.0,-0.0,-109.52902519168376,-0.0,-1713.434318351119,-190.83969465648377,-1932.9296693060144,0.0,-0.0,-0.0,-0.0,-194.93177387914,-0.0,-1781.1704834605707,0.0,-1184.307920059223,-354.6099290780061
20180212,0.0,-620.2618883528534,-0.0,0.0,1970.8654670094277,0.0,-107.10460549803742,0.0,0.0,-54.93499359092644,-0.0,-0.0,-0.0,378.9792824658848,-191.0219675262842,0.0,0.0,0.0,-0.0,1428.061406640487,2812.499999999982,-378.8698852565525,590.5006418485275,0.0,-1116.9024571853965,0.0
20180213,-0.0,0.0,-0.0,-31.746031746032518,-756.302521008392,-0.0,0.0,-0.0,596.2059620596166,494.6866984243306,-0.0,-0.0,-0.0,0.0,2294.455066921619,0.0,0.0,0.0,-0.0,140.79549454419745,-693.3744221879833,10.866021949368946,0.0,-0.0,-0.0,0.0
20180214,0.0,0.0,73.61059992638876,-1841.8545570022034,759.1733445803344,-501.0366275051932,0.0,196.57399606852178,161.6379310344776,0.0,-0.0,0.0,0.0,-0.0,1984.877126654061,0.0,-0.0,0.0,0.0,984.8751319029087,-657.1318129107021,0.0,0.0,0.0,-0.0,-0.0
20180222,0.0,-0.0,367.7822728944434,-64.10256410256565,3529.411764705885,-347.28251432539446,0.0,1261.2107623318477,-0.0,-0.0,1713.8599105812214,386.3134657836576,0.0,-1430.7228915662665,-0.0,0.0,-0.0,0.0,-0.0,3570.178508925446,0.0,-0.0,-0.0,0.0,0.0,425.98509052182607
20180223,0.0,0.0,2638.329058263108,1795.4472587367693,-243.50649350650536,1843.7989215515722,876.5778401122101,830.3349017436947,0.0,0.0,3516.483516483516,-329.8515667949385,0.0,1145.9129106187893,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1590.668080593854
20180226,1094.1644562334182,0.0,-4629.294755877055,0.0,406.33888663146263,206.82523267838124,1355.5787278415003,220.50716648289367,0.0,0.0,1151.9078473722182,0.0,0.0,0.0,0.0,0.0,131.99577613515825,0.0,-260.68821689260835,0.0,608.8280060882803,-0.0,0.0,0.0,0.0,0.0
20180227,-360.7740242702473,0.0,-925.5831173639314,-0.0,-121.65450121655093,-378.78787878788035,685.8710562414058,1046.2555066079478,-187.86902844874004,-0.0,-501.0737294201896,-0.0,-0.0,465.6862745098159,-0.0,-241.3339183852572,-448.1940416556856,0.0,-836.3826450601118,0.0,151.2859304084751,-0.0,0.0,-0.0,-0.0,-0.0
20180228,0.0,268.0965147452957,0.0,0.0,0.0,-0.0,-136.7053998632959,493.0156121610466,-941.1132024737907,-0.0,0.0,0.0,-0.0,-585.5086606489484,-0.0,-1495.4915328788318,-0.0,-1120.0560028001523,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
20180301,0.0,133.68983957218623,-0.0,0.0,521.460088247098,-0.0,-478.7961696306339,464.48087431694233,-0.0,-0.0,-572.2460658083015,-0.0,-0.0,342.5495473452553,0.0,0.0,0.0,-814.1592920353891,0.0,1529.2553191489426,187.61726078800245,0.0,0.0,-0.0,0.0,0.0
20180302,-0.0,133.60053440217482,0.0,0.0,2873.1045490821934,-0.0,0.0,0.0,0.0,0.0,-359.7122302158298,0.0,0.0,635.0757205666675,-0.0,-730.5733894177566,556.733828207842,-0.0,-568.1818181818178,2455.7956777996087,-1385.7677902621824,-107.85159620362137,-0.0,-0.0,147.38393515106478,0.0
20180305,0.0,-934.5794392523576,0.0,-0.0,-620.6361520558578,-0.0,-720.6588881262935,-296.4160603610927,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-2899.1971454058857,-5905.615607698395,-0.0,-883.1168831168852,-575.2636625120006,-0.0,-971.7123731375533,-0.0,0.0,-2060.338484179548,0.0
20180306,0.0,0.0,-373.4129947722149,-0.0,-389.10505836574794,-0.0,-207.39716557207242,-243.2432432432407,-0.0,-0.0,0.0,0.0,-227.06630336057654,-0.0,0.0,0.0,651.9967400162938,0.0,-0.0,192.30769230769764,38.06623524932846,0.0,0.0,-0.0,-0.0,-0.0
20180307,-1329.0113452187998,-0.0,299.85007496251615,-0.0,-467.83625730994197,0.0,-0.0,-0.0,0.0,0.0,-0.0,-1065.5301012253697,-273.0996813837093,-2375.0618505690295,-0.0,-0.0,-947.7389656106143,-0.0,-0.0,-192.1229586935692,-1674.2770167427554,-0.0,-1990.4257999496056,-0.0,-0.0,-0.0
20180308,-624.1787122207598,-0.0,-0.0,0.0,-391.696043869946,-0.0,-0.0,571.4285714285655,-0.0,-0.0,-0.0,-1400.1077005923323,-0.0,-1596.5534718702434,-0.0,-0.0,0.0,-0.0,-1742.3442449841593,-128.32852101379024,-2993.0928626247114,-0.0,-2467.866323907454,0.0,-0.0,-0.0
20180309,0.0,-0.0,0.0,-0.0,-863.4222919937325,-0.0,-0.0,-3354.978354978334,-0.0,-0.0,-443.1314623338164,-1301.5184381778863,-456.82960255825276,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-1155.6982343499258,-1363.459291001178,0.0,-0.0,-0.0,0.0,-0.0
20180312,-0.0,821.3552361396364,0.0,0.0,-1576.6653527788742,0.0,-0.0,-1265.8227848101278,0.0,-0.0,2522.2551928783305,-1310.0436681222832,-1743.9192290041237,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1388.4404262189123,0.0,-0.0,0.0,0.0,-0.0,0.0
20180313,-0.0,-135.77732518668745,0.0,0.0,0.0,0.0,502.87356321838115,138.46579894766586,-0.0,-73.39449541283656,-4835.164835164844,329.6703296703397,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,392.9273084479215,748.9160425699736,-0.0,-377.46023186843047,0.0,0.0,0.0
20180314,-0.0,-407.88579197827113,0.0,-282.75212064091164,0.0,0.0,-1286.6333095067741,0.0,0.0,165.25890561879473,375.3753753753779,-225.98870056496577,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.42800265427513,-78.2472613458545,551.6775501013235,0.0,0.0,956.9377990430581,0.0
20180315,0.0,-1498.6376021798324,-797.6794778825318,-252.04788909891897,-0.0,0.0,791.3669064748275,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1088.5700148441388,0.0,-733.8740826573938,-0.0,-1524.1882041086863,78.30853563037265,-459.07513156420913,0.0,0.0,-394.9447077409063,-0.0
20180316,-0.0,960.8785175017265,-1059.941520467827,0.0,0.0,-0.0,-680.7595843783652,1841.6712479384453,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-300.1500750375236,-0.0,544.7470817120638,-0.0,1368.9482470784624,-391.38943248531825,-0.0,-0.0,-1795.472287275567,0.0,0.0
20180319,-0.0,0.0,0.0,1041.0094637224067,-0.0,0.0,0.0,485.8299595141649,-0.0,-0.0,0.0,-282.4858757062211,0.0,-1599.1746195511987,-0.0,-5110.220440881753,-0.0,-388.0481179666189,0.0,-2832.6745718049874,156.86274509804244,-0.0,-0.0,-556.438791732912,-0.0,0.0
20180320,0.0,-1348.617666891428,-71.71029042667561,-607.7180188392449,-0.0,-0.0,-0.0,-376.95207323642757,0.0,0.0,0.0,-283.2861189801625,-0.0,26.212319790315707,-0.0,-257.0694087403561,-0.0,194.40124416795817,-321.0272873194247,-935.5162044771361,0.0,-582.3912298732489,-0.0,-0.0,-0.0,-0.0
20180321,0.0,-205.05809979494336,-717.6175098672345,-1462.968607131977,-0.0,-0.0,0.0,215.80793094146702,-0.0,-0.0,215.8273381294979,-0.0,0.0,-0.0,871.4596949891118,1752.5773195876172,-0.0,0.0,-429.41492216854374,469.9563611950434,-0.0,-103.3769813921487,-876.9525897506043,-0.0,0.0,-0.0
20180322,0.0,-0.0,2952.8267915016254,675.4682222904456,-565.6565656565662,0.0,0.0,0.0,0.0,866.678959985257,502.5125628140738,-0.0,-0.0,0.0,755.9395248380073,766.4793050587522,0.0,-1238.8695315524544,-0.0,467.7581022385547,0.0,0.0,55.29444290848804,0.0,0.0,0.0
20180323,-0.0,-0.0,-6955.287437899219,-914.9130832571017,3331.9788703779104,-0.0,-0.0,0.0,0.0,1096.892138939676,-1142.8571428571506,0.0,0.0,-0.0,-0.0,-5726.64800203614,0.0,-3567.228537828295,-0.0,3066.6666666666506,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
